Acc,Pre,Rec,f1_score
0.8391573729863693,0.6978851963746223,0.8857361963190185,0.7806691449814127
0.7335811648079306,0.4682179341657208,0.8566978193146417,0.6055045871559633
0.8837670384138786,0.8080659405357669,0.9056417024084461,0.8540759178593653
0.7197026022304833,0.4846659364731654,0.8232558139534883,0.610134436401241
0.7197026022304833,0.47887707822294906,0.8338870431893688,0.6083795013850416
0.8379182156133829,0.6845112781954887,0.8978303747534516,0.7767918088737201
0.7821561338289963,0.5764914353219137,0.8576449912126538,0.6895090074178736
0.7278810408921933,0.5285996055226825,0.7819924968736974,0.6308002689979826
0.6793060718711277,0.4362286970863112,0.7471751412429378,0.550850399166956
0.8156133828996283,0.595625,0.9076190476190477,0.7192452830188679
0.7410161090458488,0.5627695256348826,0.8986228003060444,0.6921037124337065
0.8418835192069393,0.7554101660795168,0.9080459770114943,0.8247252747252747
0.9030978934324659,0.8298611111111112,0.9366427171783148,0.8800245474071801
0.8448574969021065,0.7437064809855383,0.9039713541666666,0.8160446664707609
0.8643122676579925,0.6320072332730561,0.8326384752829065,0.7185813415574402
0.7744733581164808,0.5714285714285714,0.8237347294938918,0.6747676912080057
0.791449814126394,0.5976911976911977,0.877542372881356,0.7110729613733906
0.7185873605947956,0.44842657342657344,0.8028169014084507,0.57543466068424
0.7796778190830236,0.5762517882689556,0.8714842059714409,0.6937650706166036
0.7809169764560099,0.550185873605948,0.8489483747609943,0.6676691729323307
0.8263940520446097,0.6694841154182454,0.8958658346333853,0.7663052543786488
0.78636926889715,0.6119198022521285,0.8775108310358409,0.7210355987055016
0.7895910780669145,0.5915103045216856,0.8386393371129525,0.6937229437229439
0.7973977695167286,0.6551433389544689,0.8510405257393209,0.7403525488327775
0.6770755885997521,0.4833464463676895,0.7434449374747882,0.5858232676414494
0.7867410161090459,0.5731635071090048,0.873589164785553,0.6921838669289931
0.734448574969021,0.5257731958762887,0.8306900985855122,0.6439607908290413
0.8732342007434944,0.8010430247718383,0.921968787515006,0.857262452909167
0.857001239157373,0.7508886255924171,0.8900983146067416,0.8145886889460154
0.601734820322181,0.2963177732676138,0.5649530127142067,0.38874096614682396
