worker,WPCR
6,7.82565120804879e-06
49,1.135928669075692e-05
91,1.6441725071626723e-05
33,4.206459315036354e-05
16,6.235795336265171e-05
42,6.62255529439923e-05
35,6.881383464051732e-05
23,7.215015988892848e-05
18,7.80306908460468e-05
46,8.385114635237056e-05
57,8.826872194986346e-05
96,0.00011313732601484633
108,0.00011313732601485327
109,0.00011313732601485327
98,0.00011313732601485327
100,0.00011313732601485327
103,0.00011313732601485327
104,0.00011313732601485327
105,0.00011313732601485327
106,0.00011313732601485327
92,0.0001131373260148602
82,0.0001131373260148602
64,0.0001131373260148602
38,0.0001131373260148602
87,0.0001131373260148602
86,0.0001131373260148602
90,0.00011896792952353907
2,0.0001196044710641414
68,0.00012513681567668383
27,0.00013237498383634333
55,0.0001380970589505981
13,0.000141990351123715
1,0.00014458947271427103
65,0.00015500828924482069
80,0.000161150758230047
84,0.00016168654342031685
107,0.00017434406626175986
94,0.0001751458873985104
36,0.00017653589294848449
25,0.00017906251447279142
7,0.0001809733110792952
43,0.00018342002360186016
62,0.00018427608151615898
89,0.00018511005133521607
102,0.00020671162024907958
60,0.00021329181789667834
59,0.00022710265089997267
71,0.00023046879210621846
5,0.00023804056825402903
75,0.00024314125891695265
97,0.00024519778299784967
51,0.0002472248341338426
85,0.0002510286057031408
69,0.0002557161121916826
8,0.0002578510530671166
45,0.0002615147172074367
47,0.00026854959705045756
81,0.0002801083791098419
79,0.0002801083791098419
95,0.0002801083791098419
74,0.0002801083791098488
44,0.00028595280153120156
61,0.00029158613475730594
66,0.00029466469299079673
77,0.000296457565859512
48,0.0002967847274776003
17,0.0003012726955377229
72,0.0003020977873090247
70,0.00031423847811856004
11,0.00032615056066693376
63,0.0003384242110312241
10,0.0003403369092464248
58,0.00035178897898713313
39,0.0003645592810316983
76,0.00038910732392110486
83,0.00039030614305930744
52,0.0003903984653316206
26,0.0004438228626703969
67,0.0005015095606242387
22,0.0005068698412434985
30,0.0005492856233083737
12,0.0005516491055423747
21,0.0005772406261910848
19,0.0006229050010154516
50,0.0006282938752015729
54,0.0006590203209357812
40,0.0007034038478582888
24,0.0007129065114740846
34,0.0007226364297887311
3,0.0007636558611252287
53,0.0007722151492431106
88,0.0007897278144774339
99,0.0008212983085937944
29,0.0009323147450077326
4,0.0009542632712745205
73,0.0009810123099115303
28,0.0010654591576192002
14,0.0012790777669689814
32,0.0013863930583516912
37,0.0014416482487922336
41,0.0015258921607531617
15,0.001534223935631792
20,0.0015593941233275205
31,0.001594991946374573
56,0.0016479966381739604
9,0.0016900395886746064
78,0.0029603544663362458
101,0.005541157379674502
93,0.005541157379674505
